id;city;population;murder;rape;robbery;aggravated_assault;property_crime;burglary;larceny;vehicle_theft;arson
1;Darianshire;63512;20720;21981;67798;58117;26768;24402;47948;94440;20043
2;Josephinestad;99091;51842;32261;98163;65767;56828;1893;83639;71629;56604
3;Pagacshire;36917;3653;22739;16883;68225;60701;76403;67554;56534;15931
4;Aliso Viejo;67835;86968;87728;36448;25045;52538;5644;8986;52136;37430
5;Port Chelseahaven;63349;77198;57657;16845;93848;71540;87059;26618;67959;92896
6;Novi;27667;32382;62143;12064;20091;4584;45718;67436;97417;50232
7;Kareemton;66509;20359;44037;29921;99246;89958;23778;49516;11142;94626
8;Howeborough;52745;16538;8102;73080;93474;12868;57491;76285;29179;4718
9;Milpitas;880;62728;19431;41049;76500;72695;80821;72538;4248;24825
10;Quincyberg;35890;21163;50919;61605;93126;34643;14358;17464;51620;62015
